category,difficulty,word,note
Direct Comments or Observations,1,"_______, your adventures are refreshingly obscure.",
Direct Comments or Observations,1,You're an explorer of the arcane.,
Direct Comments or Observations,1,"_______, your journeys are wonderfully mysterious.",
Direct Comments or Observations,1,You're a curator of the unorthodox.,
Direct Comments or Observations,1,"_______, your selections are delightfully cryptic.",
Direct Comments or Observations,1,You appreciate the mystique of life.,
Direct Comments or Observations,1,"_______, your interests are uniquely intriguing.",
Direct Comments or Observations,1,You have a knack for the surreal.,
Direct Comments or Observations,1,"_______, your experiences are refreshingly enigmatic.",
Direct Comments or Observations,1,You're a connoisseur of the enigmatic.,
Direct Comments or Observations,1,"_______, your tastes are delightfully obscure.",
Direct Comments or Observations,1,You navigate the labyrinth of existence.,
Direct Comments or Observations,1,"_______, your path is uniquely mysterious.",
Direct Comments or Observations,1,You're a connoisseur of the eccentric.,
Direct Comments or Observations,1,"_______, your preferences are refreshingly cryptic.",
Direct Comments or Observations,1,You're a maestro of the enigmatic.,
Direct Comments or Observations,1,"_______, your compositions are delightfully puzzling.",
Direct Comments or Observations,1,You see the world through a unique lens.,
Direct Comments or Observations,1,"_______, your perspective is wonderfully obscure.",
Direct Comments or Observations,1,You're a collector of the extraordinary.,
Direct Comments or Observations,1,"_______, your acquisitions are delightfully enigmatic.",
Direct Comments or Observations,1,You have an affinity for the unconventional.,
Direct Comments or Observations,1,"_______, your choices are refreshingly mysterious.",
Direct Comments or Observations,1,You're a seeker of the unexplained.,
Direct Comments or Observations,1,"_______, your inquiries are delightfully cryptic.",
Direct Comments or Observations,1,You're a scholar of the mysterious.,
Direct Comments or Observations,1,"_______, your studies are refreshingly enigmatic.",
Direct Comments or Observations,1,You're a navigator of the surreal.,
Direct Comments or Observations,1,"_______, your journeys are delightfully obscure.",
Direct Comments or Observations,1,You're an aficionado of the enigmatic.,
Direct Comments or Observations,1,"_______, your interests are uniquely intriguing.",
Direct Comments or Observations,1,You have a passion for the perplexing.,
Direct Comments or Observations,1,"_______, your pursuits are refreshingly cryptic.",
Direct Comments or Observations,1,You're an interpreter of the enigmatic.,
Direct Comments or Observations,1,"_______, your insights are delightfully puzzling.",
Direct Comments or Observations,1,You see the magic in the mundane.,
Direct Comments or Observations,1,"_______, your perspective is wonderfully obscure.",
Direct Comments or Observations,1,You're an observer of the mysterious.,
Direct Comments or Observations,1,"_______, your observations are delightfully enigmatic.",
Direct Comments or Observations,1,You're a magnet for the mystical.,
Direct Comments or Observations,1,"_______, your experiences are refreshingly cryptic.",
Direct Comments or Observations,1,You're a philosopher of the enigmatic.,
Direct Comments or Observations,1,"_______, your musings are delightfully mysterious.",
Direct Comments or Observations,1,You find wonder in the weird.,
Direct Comments or Observations,1,"_______, your sense of wonder is refreshingly obscure.",
Direct Comments or Observations,1,You're a wanderer in the whimsical.,
Direct Comments or Observations,1,"_______, your explorations are delightfully enigmatic.",
Direct Comments or Observations,1,You have a fascination for the fantastic.,
Direct Comments or Observations,1,"_______, your interests are uniquely intriguing.",
Direct Comments or Observations,1,You're a dreamer in the enigmatic.,
Direct Comments or Observations,1,"_______, your dreams are refreshingly cryptic.",
Direct Comments or Observations,1,You're a weaver of the surreal.,
Direct Comments or Observations,1,"_______, your creations are delightfully mysterious.",
Direct Comments or Observations,1,You're a seeker of the otherworldly.,
Direct Comments or Observations,1,"_______, your quests are refreshingly obscure.",
Direct Comments or Observations,1,You're a discoverer of the enigmatic.,
Direct Comments or Observations,1,"_______, your findings are delightfully enigmatic.",
Direct Comments or Observations,1,You're an explorer of the inexplicable.,
Direct Comments or Observations,1,"_______, your adventures are refreshingly cryptic.",
Direct Comments or Observations,1,You're a traveler of the enigmatic.,
Direct Comments or Observations,1,"_______, your journeys are delightfully mysterious.",
Direct Comments or Observations,1,You're an adventurer in the surreal.,
Direct Comments or Observations,1,"_______, your escapades are refreshingly en",
Direct Comments or Observations,0,You look fantastic today.,
Direct Comments or Observations,0,"_______, you're glowing!",
Direct Comments or Observations,0,You're the life of the party.,
Direct Comments or Observations,0,"_______, you're always so positive.",
Direct Comments or Observations,0,You have a great sense of style.,
Direct Comments or Observations,0,"_______, you're the funniest person I know.",
Direct Comments or Observations,0,You're such a good listener.,
Direct Comments or Observations,0,"_______, you're the most reliable friend.",
Direct Comments or Observations,0,You make this event so much better.,
Direct Comments or Observations,0,"_______, you have the best stories.",
Direct Comments or Observations,0,You're an amazing cook.,
Direct Comments or Observations,0,"_______, you're a true artist.",
Direct Comments or Observations,0,You light up the room.,
Direct Comments or Observations,0,"_______, you have a heart of gold.",
Direct Comments or Observations,0,You're so creative.,
Direct Comments or Observations,0,"_______, you're incredibly talented.",
Direct Comments or Observations,0,You always bring positivity.,
Direct Comments or Observations,0,"_______, you're the life of the party.",
Direct Comments or Observations,0,You have such a warm presence.,
Direct Comments or Observations,0,"_______, you're the ultimate problem solver.",
Direct Comments or Observations,0,You're a great mentor.,
Direct Comments or Observations,0,"_______, you're so thoughtful.",
Direct Comments or Observations,0,You bring joy to everyone.,
Direct Comments or Observations,0,"_______, you're a fantastic dancer.",
Direct Comments or Observations,0,You're an inspiration.,
Direct Comments or Observations,0,"_______, you're the best conversationalist.",
Direct Comments or Observations,0,You make everything more enjoyable.,
Direct Comments or Observations,0,"_______, you're a true leader.",
Direct Comments or Observations,0,You're the best at making people laugh.,
Direct Comments or Observations,0,"_______, you have a magnetic personality.",
Direct Comments or Observations,0,You're so caring.,
Direct Comments or Observations,0,"_______, you're the voice of reason.",
Direct Comments or Observations,0,You always make me smile.,
Direct Comments or Observations,0,"_______, you're a great team player.",
Direct Comments or Observations,0,You're a ray of sunshine.,
Direct Comments or Observations,0,"_______, you have a heart of gold.",
Direct Comments or Observations,0,You're such a good friend.,
Direct Comments or Observations,0,"_______, you're an incredible singer.",
Direct Comments or Observations,0,You bring happiness wherever you go.,
Direct Comments or Observations,0,"_______, you're a fantastic host.",
Direct Comments or Observations,0,You're so inspiring.,
Direct Comments or Observations,0,"_______, you're the best at organizing things.",
Direct Comments or Observations,0,You make every moment memorable.,
Direct Comments or Observations,0,"_______, you're a great problem solver.",
Direct Comments or Observations,0,You're a true gem.,
Direct Comments or Observations,0,"_______, you have an infectious laugh.",
Direct Comments or Observations,0,You're an incredible listener.,
Direct Comments or Observations,0,"_______, you're the most dependable person.",
Direct Comments or Observations,0,You have a unique charm.,
Direct Comments or Observations,0,"_______, you're the life of the party.",
Direct Comments or Observations,0,You're a true artist.,
Direct Comments or Observations,0,"_______, you're so humble.",
Direct Comments or Observations,0,You light up the room.,
Direct Comments or Observations,0,"_______, you're a natural leader.",
Direct Comments or Observations,0,You always bring positivity.,
Direct Comments or Observations,0,"_______, you're the ultimate peacemaker.",
Direct Comments or Observations,0,You're a great motivator.,
Direct Comments or Observations,0,"_______, you have a heart of gold.",
Direct Comments or Observations,0,You're a wonderful friend.,
Direct Comments or Observations,0,"_______, you're the best storyteller.",
Direct Comments or Observations,0,You're a fantastic cook.,
Direct Comments or Observations,0,"_______, you're so wise.",
Direct Comments or Observations,0,You make everyone feel welcome.,
Direct Comments or Observations,0,"_______, you're the best at making people laugh.",
Direct Comments or Observations,0,You're a fantastic dancer.,
Direct Comments or Observations,0,"_______, you're so caring.",
Direct Comments or Observations,0,You're an inspiration.,
Direct Comments or Observations,0,"_______, you're the most reliable friend.",
Direct Comments or Observations,0,You have a magnetic personality.,
Direct Comments or Observations,0,"_______, you're a great mentor.",
Direct Comments or Observations,0,You're the voice of reason.,
Direct Comments or Observations,0,"_______, you're a true leader.",
Direct Comments or Observations,0,You make the world a better place.,
Direct Comments or Observations,0,"_______, you're a fantastic listener.",
Direct Comments or Observations,0,You're a ray of sunshine.,
Direct Comments or Observations,0,"_______, you have a heart of gold.",
Direct Comments or Observations,0,You're such a good friend.,
Direct Comments or Observations,0,"_______, you're an incredible singer.",
Direct Comments or Observations,0,You bring joy to everyone's life.,
Direct Comments or Observations,0,"_______, you're a fantastic host.",
Direct Comments or Observations,0,You're so kind-hearted.,
Direct Comments or Observations,0,"_______, you're the best at organizing events.",
Direct Comments or Observations,0,You're always there when needed.,
Direct Comments or Observations,0,"_______, you're a great problem solver.",
Direct Comments or Observations,0,You're a true gem.,
Direct Comments or Observations,0,"_______, you have a magnetic personality.",
Direct Comments or Observations,0,You're an incredible listener.,
Direct Comments or Observations,0,"_______, you're the most dependable person.",
Direct Comments or Observations,0,You have a captivating presence.,
Direct Comments or Observations,0,"_______, you're the life of the party.",
Direct Comments or Observations,0,You're a true artist.,
Direct Comments or Observations,0,"_______, you're so down-to-earth.",
Direct Comments or Observations,0,You light up every room you enter.,
Direct Comments or Observations,0,"_______, you're a natural leader.",
Direct Comments or Observations,0,You bring positivity wherever you go.,
Direct Comments or Observations,0,"_______, you have a heart of gold.",
Direct Comments or Observations,0,You're such a reliable friend.,
Direct Comments or Observations,0,"_______, you're an amazing dancer.",
Direct Comments or Observations,0,You make people's lives brighter.,
Direct Comments or Observations,0,"_______, you're the best at making people smile.",
Personal Opinion or Preference,1,I prefer socks with sandals.,
Personal Opinion or Preference,1,I think cereal is better at night.,
Personal Opinion or Preference,1,I like my ice cream with hot sauce.,
Personal Opinion or Preference,1,I prefer my pizza with mustard.,
Personal Opinion or Preference,1,I enjoy brushing my teeth with hot water.,
Personal Opinion or Preference,1,I like to dip my french fries in ice cream.,
Personal Opinion or Preference,1,I think peanut butter goes well with pickles.,
Personal Opinion or Preference,1,I prefer ketchup on my spaghetti.,
Personal Opinion or Preference,1,I like to eat pizza crust first.,
Personal Opinion or Preference,1,I enjoy eating raw spaghetti.,
Personal Opinion or Preference,1,I think orange juice is better after toothpaste.,
Personal Opinion or Preference,1,I like to microwave my ice cream.,
Personal Opinion or Preference,1,I prefer my cereal soggy.,
Personal Opinion or Preference,1,I enjoy drinking milk with ketchup.,
Personal Opinion or Preference,1,I think salt belongs in my coffee.,
Personal Opinion or Preference,1,I like my pancakes with ketchup.,
Personal Opinion or Preference,1,I prefer my salad with marshmallows.,
Personal Opinion or Preference,1,I enjoy peanut butter and mayonnaise sandwiches.,
Personal Opinion or Preference,1,I think ketchup on watermelon is delicious.,
Personal Opinion or Preference,1,I like my cereal in a cup of hot tea.,
Personal Opinion or Preference,1,I enjoy dipping my cookies in orange juice.,
Personal Opinion or Preference,1,I prefer my popcorn with soy sauce.,
Personal Opinion or Preference,1,I think mustard and apples go well together.,
Personal Opinion or Preference,1,I like my burgers with jelly.,
Personal Opinion or Preference,1,I enjoy eating spaghetti with chopsticks.,
Personal Opinion or Preference,1,I think ranch dressing belongs in my cereal.,
Personal Opinion or Preference,1,I prefer my coffee with hot sauce.,
Personal Opinion or Preference,1,I like to eat bread with ketchup.,
Personal Opinion or Preference,1,I enjoy peanut butter and mayonnaise pizza.,
Personal Opinion or Preference,1,I think ketchup makes a great salad dressing.,
Personal Opinion or Preference,1,I like my cereal in a bowl of orange juice.,
Personal Opinion or Preference,1,I prefer my eggs with ketchup and chocolate syrup.,
Personal Opinion or Preference,1,I enjoy drinking soda through a straw with holes.,
Personal Opinion or Preference,1,I think mustard is the best pancake topping.,
Personal Opinion or Preference,1,I like my milk with a hint of pickle juice.,
Personal Opinion or Preference,1,I prefer my spaghetti with a side of jellybeans.,
Personal Opinion or Preference,1,I enjoy dipping my sandwiches in soda.,
Personal Opinion or Preference,1,I think ketchup belongs in my cereal.,
Personal Opinion or Preference,1,I like my ice cream with hot dogs.,
Personal Opinion or Preference,1,I prefer my cookies with a side of mayonnaise.,
Personal Opinion or Preference,1,I enjoy drinking coffee through a straw.,
Personal Opinion or Preference,1,I think syrup goes well with pickles.,
Personal Opinion or Preference,1,I like my cereal in a bowl of ketchup.,
Personal Opinion or Preference,1,I prefer my pancakes with toothpaste.,
Personal Opinion or Preference,1,I enjoy eating raw onions like apples.,
Personal Opinion or Preference,1,I think hot sauce is a great milkshake flavor.,
Personal Opinion or Preference,1,I like my spaghetti with a sprinkle of sugar.,
Personal Opinion or Preference,1,I prefer my coffee with a hint of mustard.,
Personal Opinion or Preference,1,I enjoy drinking tea through a straw with holes.,
Personal Opinion or Preference,1,I think ranch dressing belongs in my coffee.,
Personal Opinion or Preference,1,I like my cereal in a glass of soda.,
Personal Opinion or Preference,1,I prefer my ice cream with a side of onions.,
Personal Opinion or Preference,1,I enjoy dipping my pizza in mayonnaise.,
Personal Opinion or Preference,1,I think ketchup makes a great smoothie.,
Personal Opinion or Preference,1,I like my pancakes with a dash of hot sauce.,
Personal Opinion or Preference,1,I prefer my sandwiches with a scoop of ice cream.,
Personal Opinion or Preference,1,I enjoy eating bread with chocolate syrup.,
Personal Opinion or Preference,1,I think mustard is the perfect cereal topping.,
Personal Opinion or Preference,1,I like my spaghetti with a squirt of ketchup.,
Personal Opinion or Preference,1,I prefer my coffee with a dollop of mayonnaise.,
Personal Opinion or Preference,1,I enjoy drinking milk through a straw with holes.,
Personal Opinion or Preference,1,I think ranch dressing belongs in my tea.,
Personal Opinion or Preference,1,I like my cereal in a cup of hot sauce.,
Personal Opinion or Preference,1,I prefer my pizza with a side of syrup.,
Personal Opinion or Preference,1,I enjoy dipping my french fries in mustard.,
Personal Opinion or Preference,1,I think peanut butter is the best milkshake flavor.,
Personal Opinion or Preference,1,I like my pancakes with a splash of ranch dressing.,
Personal Opinion or Preference,1,I prefer my ice cream with a sprinkle of salt.,
Personal Opinion or Preference,1,I enjoy eating raw spaghetti like it's candy.,
Personal Opinion or Preference,1,I think ketchup goes well with apples.,
Personal Opinion or Preference,1,I like my spaghetti with a squirt of mustard.,
Personal Opinion or Preference,1,I prefer my coffee with a dash of ranch dressing.,
Personal Opinion or Preference,1,I enjoy drinking tea through a straw with ketchup.,
Personal Opinion or Preference,1,I think syrup belongs in my cereal.,
Personal Opinion or Preference,1,I like my cereal in a glass of pickles juice.,
Personal Opinion or Preference,1,I prefer my sandwiches with a scoop of peanut butter.,
Personal Opinion or Preference,1,I enjoy eating bread with a side of spaghetti.,
Personal Opinion or Preference,1,I think hot sauce is the perfect pancake topping.,
Personal Opinion or Preference,1,I like my pancakes with a squirt of ketchup.,
Personal Opinion or Preference,1,I prefer my cookies with a sprinkle of mayonnaise.,
Personal Opinion or Preference,1,I enjoy dipping my pizza in hot sauce.,
Personal Opinion or Preference,1,I think mustard makes a great smoothie.,
Personal Opinion or Preference,1,I like my spaghetti with a side of ice cream.,
Personal Opinion or Preference,1,I prefer my coffee with a dollop of peanut butter.,
Personal Opinion or Preference,1,I enjoy drinking milk through a straw with ranch dressing.,
Personal Opinion or Preference,1,I think syrup is a great milkshake flavor.,
Personal Opinion or Preference,1,I like my pancakes with a splash of tea.,
Personal Opinion or Preference,1,I prefer my ice cream with a dash of ketchup.,
Personal Opinion or Preference,1,I enjoy eating raw onions with a hint of mustard.,
Personal Opinion or Preference,1,I think ketchup goes well with chocolate syrup.,
Personal Opinion or Preference,1,I like my cereal in a cup of hot dogs.,
Personal Opinion or Preference,1,I prefer my spaghetti with a scoop of ranch dressing.,
Personal Opinion or Preference,1,I enjoy dipping my sandwiches in pickles juice.,
Personal Opinion or Preference,1,I think peanut butter is the perfect cereal topping.,
Personal Opinion or Preference,1,I like my pancakes with a side of hot sauce.,
Personal Opinion or Preference,1,I prefer my coffee with a squirt of syrup.,
Personal Opinion or Preference,1,I enjoy drinking tea through a straw with mayonnaise.,
Personal Opinion or Preference,1,I think ranch dressing belongs in my ice cream.,
Personal Opinion or Preference,1,I like my cereal in a glass of mustard.,
Personal Opinion or Preference,1,I prefer my pizza with a sprinkle of sugar.,
Exaggerated Statements,1,It's hotter than the sun!,
Exaggerated Statements,1,I'm as hungry as a bear!,
Exaggerated Statements,1,I've got a ton of work to do!,
Exaggerated Statements,1,I laughed my head off!,
Exaggerated Statements,1,I'm as tired as a sloth!,
Exaggerated Statements,1,I'm as busy as a bee!,
Exaggerated Statements,1,I'm as fast as lightning!,
Exaggerated Statements,1,I'm as slow as a snail!,
Exaggerated Statements,1,I'm as old as dirt!,
Exaggerated Statements,1,I'm as light as a feather!,
Exaggerated Statements,1,I'm as heavy as a rock!,
Exaggerated Statements,1,I'm as tall as a tree!,
Exaggerated Statements,1,I'm as short as a gnome!,
Exaggerated Statements,1,I'm as bright as the sun!,
Exaggerated Statements,1,I'm as dark as the night!,
Exaggerated Statements,1,I'm as cool as a cucumber!,
Exaggerated Statements,1,I'm as hot as a volcano!,
Exaggerated Statements,1,I'm as smooth as silk!,
Exaggerated Statements,1,I'm as rough as sandpaper!,
Exaggerated Statements,1,I'm as sweet as honey!,
Exaggerated Statements,1,I'm as sour as a lemon!,
Exaggerated Statements,1,I'm as loud as a lion!,
Exaggerated Statements,1,I'm as quiet as a mouse!,
Exaggerated Statements,1,I'm as strong as an ox!,
Exaggerated Statements,1,I'm as weak as a kitten!,
Exaggerated Statements,1,I'm as brave as a lion!,
Exaggerated Statements,1,I'm as scared as a rabbit!,
Exaggerated Statements,1,I'm as fast as a cheetah!,
Exaggerated Statements,1,I'm as slow as a tortoise!,
Exaggerated Statements,1,I'm as clean as a whistle!,
Exaggerated Statements,1,I'm as dirty as a pig!,
Exaggerated Statements,1,I'm as happy as a clam!,
Exaggerated Statements,1,I'm as sad as a dog!,
Exaggerated Statements,1,I'm as smooth as butter!,
Exaggerated Statements,1,I'm as sharp as a knife!,
Exaggerated Statements,1,I'm as clear as crystal!,
Exaggerated Statements,1,I'm as cloudy as fog!,
Exaggerated Statements,1,I'm as bright as the moon!,
Exaggerated Statements,1,I'm as dark as the abyss!,
Exaggerated Statements,1,I'm as light as a feather!,
Exaggerated Statements,1,I'm as heavy as a rock!,
Exaggerated Statements,1,I'm as fast as a rocket!,
Exaggerated Statements,1,I'm as slow as molasses!,
Exaggerated Statements,1,I'm as big as a house!,
Exaggerated Statements,1,I'm as small as a speck!,
Exaggerated Statements,1,I'm as long as a river!,
Exaggerated Statements,1,I'm as short as a stump!,
Exaggerated Statements,1,I'm as hot as the desert!,
Exaggerated Statements,1,I'm as cold as ice!,
Exaggerated Statements,1,I'm as wild as a wolf!,
Exaggerated Statements,1,I'm as 0 as a kitten!,
Exaggerated Statements,1,I'm as clear as day!,
Exaggerated Statements,1,I'm as foggy as mist!,
Exaggerated Statements,1,I'm as high as a kite!,
Exaggerated Statements,1,I'm as low as the ground!,
Exaggerated Statements,1,I'm as sweet as candy!,
Exaggerated Statements,1,I'm as bitter as gall!,
Exaggerated Statements,1,I'm as loud as thunder!,
Exaggerated Statements,1,I'm as quiet as a ghost!,
Exaggerated Statements,1,I'm as smooth as silk!,
Exaggerated Statements,1,I'm as rough as sand!,
Exaggerated Statements,1,I'm as happy as a lark!,
Exaggerated Statements,1,I'm as sad as a clown!,
Exaggerated Statements,1,I'm as clean as a whistle!,
Exaggerated Statements,1,I'm as dirty as mud!,
Exaggerated Statements,1,I'm as wise as an owl!,
Exaggerated Statements,1,I'm as foolish as a fox!,
Exaggerated Statements,1,I'm as quick as a fox!,
Exaggerated Statements,1,I'm as slow as molasses!,
Exaggerated Statements,1,I'm as hot as fire!,
Exaggerated Statements,1,I'm as cold as ice!,
Exaggerated Statements,1,I'm as brave as a knight!,
Exaggerated Statements,1,I'm as timid as a mouse!,
Exaggerated Statements,1,I'm as smooth as silk!,
Exaggerated Statements,1,I'm as rough as sandpaper!,
Exaggerated Statements,1,I'm as sweet as sugar!,
Exaggerated Statements,1,I'm as sour as vinegar!,
Exaggerated Statements,1,I'm as loud as a trumpet!,
Exaggerated Statements,1,I'm as quiet as a whisper!,
Exaggerated Statements,1,I'm as strong as steel!,
Exaggerated Statements,1,I'm as weak as a kitten!,
Exaggerated Statements,1,I'm as sharp as a needle!,
Exaggerated Statements,1,I'm as dull as a spoon!,
Exaggerated Statements,1,I'm as clear as crystal!,
Exaggerated Statements,1,I'm as cloudy as fog!,
Exaggerated Statements,1,I'm as bright as the stars!,
Exaggerated Statements,1,I'm as dark as midnight!,
Exaggerated Statements,1,I'm as light as a feather!,
Exaggerated Statements,1,I'm as heavy as a boulder!,
Exaggerated Statements,1,I'm as tall as a skyscraper!,
Exaggerated Statements,1,I'm as short as a gnome!,
Exaggerated Statements,1,I'm as hot as the sun!,
Exaggerated Statements,1,I'm as cold as the Arctic!,
Exaggerated Statements,1,I'm as cool as a cucumber!,
Exaggerated Statements,1,I'm as hot as a furnace!,
Exaggerated Statements,1,I'm as smooth as velvet!,
Exaggerated Statements,1,I'm as rough as bark!,
Exaggerated Statements,1,I'm as sweet as chocolate!,
Exaggerated Statements,1,I'm as sour as a lemon!,
Exaggerated Statements,1,I'm as fast as lightning!,
Exaggerated Statements,0,I'm absolutely starving!,
Exaggerated Statements,0,I can't take it anymore!,
Exaggerated Statements,0,This is a complete disaster.,
Exaggerated Statements,0,I'm so done with this!,
Exaggerated Statements,0,I'm on the brink of tears.,
Exaggerated Statements,0,I'm totally freaking out!,
Exaggerated Statements,0,I've had enough of this madness.,
Exaggerated Statements,0,I'm at my wit's end!,
Exaggerated Statements,0,This is pure chaos!,
Exaggerated Statements,0,I'm drowning in work!,
Exaggerated Statements,0,This is a nightmare!,
Exaggerated Statements,0,I'm about to lose my mind.,
Exaggerated Statements,0,This is driving me insane.,
Exaggerated Statements,0,I'm in total despair.,
Exaggerated Statements,0,I can't handle this pressure!,
Exaggerated Statements,0,This is a catastrophe!,
Exaggerated Statements,0,I'm utterly exhausted!,
Exaggerated Statements,0,I've hit rock bottom.,
Exaggerated Statements,0,I'm at the end of my rope.,
Exaggerated Statements,0,This is the end of the world!,
Exaggerated Statements,0,I'm completely overwhelmed!,
Exaggerated Statements,0,I'm so overwhelmed it hurts!,
Exaggerated Statements,0,This is an epic disaster.,
Exaggerated Statements,0,"I'm in deep, deep trouble.",
Exaggerated Statements,0,I can't bear it anymore!,
Exaggerated Statements,0,This is pure mayhem!,
Exaggerated Statements,0,I'm falling apart!,
Exaggerated Statements,0,I'm about to implode!,
Exaggerated Statements,0,This is a trainwreck!,
Exaggerated Statements,0,I'm going out of my mind!,
Exaggerated Statements,0,I'm on the verge of tears!,
Exaggerated Statements,0,This is a total catastrophe.,
Exaggerated Statements,0,I can't survive this!,
Exaggerated Statements,0,I'm cracking under the pressure.,
Exaggerated Statements,0,This is the end of everything!,
Exaggerated Statements,0,I'm overwhelmed beyond belief!,
Exaggerated Statements,0,I'm about to go ballistic!,
Exaggerated Statements,0,This is complete pandemonium.,
Exaggerated Statements,0,I can't take another second!,
Exaggerated Statements,0,I'm on the edge of insanity!,
Exaggerated Statements,0,This is an absolute nightmare.,
Exaggerated Statements,0,I'm completely and utterly lost!,
Exaggerated Statements,0,I'm about to explode!,
Exaggerated Statements,0,This is a meltdown!,
Exaggerated Statements,0,I can't endure this any longer!,
Exaggerated Statements,0,I'm crumbling to pieces!,
Exaggerated Statements,0,This is an apocalypse!,
Exaggerated Statements,0,I'm losing my marbles!,
Exaggerated Statements,0,I'm on the brink of a breakdown!,
Exaggerated Statements,0,This is sheer bedlam!,
Exaggerated Statements,0,I'm in the throes of despair!,
Exaggerated Statements,0,I can't hold it together!,
Exaggerated Statements,0,This is a cataclysm!,
Exaggerated Statements,0,I'm disintegrating!,
Exaggerated Statements,0,I'm falling apart at the seams!,
Exaggerated Statements,0,This is the end of the road!,
Exaggerated Statements,0,I can't bear the agony!,
Exaggerated Statements,0,This is the ultimate chaos!,
Exaggerated Statements,0,I'm on the verge of a nervous breakdown!,
Exaggerated Statements,0,I'm at the point of no return!,
Exaggerated Statements,0,This is the apocalypse!,
Exaggerated Statements,0,I can't take the torment!,
Exaggerated Statements,0,This is a complete and utter fiasco.,
Exaggerated Statements,0,I'm unraveling!,
Exaggerated Statements,0,I'm losing my grip!,
Exaggerated Statements,0,This is an utter catastrophe!,
Exaggerated Statements,0,I'm on the brink of insanity!,
Exaggerated Statements,0,I'm on the edge of oblivion!,
Exaggerated Statements,0,This is a total meltdown.,
Exaggerated Statements,0,I'm in the depths of despair!,
Exaggerated Statements,0,I can't cope any longer!,
Exaggerated Statements,0,This is a total and complete disaster.,
Exaggerated Statements,0,I'm falling into the abyss!,
Exaggerated Statements,0,I'm crumbling into dust!,
Exaggerated Statements,0,This is the end of the line!,
Exaggerated Statements,0,I can't endure this torture!,
Exaggerated Statements,0,This is an apocalyptic nightmare!,
Exaggerated Statements,0,I'm on the verge of collapse!,
Exaggerated Statements,0,I'm on the precipice of madness!,
Exaggerated Statements,0,This is the mother of all chaos!,
Exaggerated Statements,0,I can't bear the anguish!,
Exaggerated Statements,0,This is the grand finale of disasters!,
Exaggerated Statements,0,I'm teetering on the edge of insanity!,
Exaggerated Statements,0,I'm on the brink of total annihilation!,
Exaggerated Statements,0,This is the ultimate catastrophe!,
Exaggerated Statements,0,I can't withstand this torment!,
Exaggerated Statements,0,This is a colossal catastrophe!,
Exaggerated Statements,0,I'm on the verge of a mental breakdown!,
Exaggerated Statements,0,I'm at the point of utter breakdown!,
Exaggerated Statements,0,This is the absolute worst-case scenario!,
Exaggerated Statements,0,I can't survive this ordeal!,
Exaggerated Statements,0,This is a cataclysmic catastrophe!,
Exaggerated Statements,0,I'm on the brink of complete collapse!,
Exaggerated Statements,0,I'm on the precipice of disaster!,
Exaggerated Statements,0,This is a disaster of epic proportions!,
Exaggerated Statements,0,I can't take this torment any longer!,
Exaggerated Statements,0,This is the mother of all calamities!,
Exaggerated Statements,0,I'm on the verge of emotional collapse!,
Exaggerated Statements,0,I'm at the point of no return!,
Exaggerated Statements,0,This is the ultimate calamity!,
